id,channel,title,url,published,views,duration,baseline,multiple,views_per_day,vpd_multiple
ETZzkVQS2Vg,Coderized,Ugly action beats perfection (reupload),https://www.youtube.com/watch?v=ETZzkVQS2Vg,2024-07-19,22599,350,1211854,0.02,30.1,0.03
RhdQTNT5xu4,Company Man,Game Completely LOST IT at VERZUZ,https://www.youtube.com/watch?v=RhdQTNT5xu4,2026-07-24,97310,1721,23090,4.21,6081.9,7.73
9rz9B179qvw,Company Man,Drake's Catalog Analyzed. The Results Are SHOCKING,https://www.youtube.com/watch?v=9rz9B179qvw,2026-06-19,65811,1586,23090,2.85,1290.4,1.64
uCArct-mZaY,Company Man,"Jay-Z Just Ended Drake, Nicki, Ye, Dame & More In One Freestyle",https://www.youtube.com/watch?v=uCArct-mZaY,2026-06-01,64312,1817,23090,2.79,932.1,1.19
JWXCI1jcGfI,Company Man,Lupe Fiasco Explains It All | @CultureUnitedClips,https://www.youtube.com/watch?v=JWXCI1jcGfI,2026-07-02,53444,22580,23090,2.31,1406.4,1.79
_0W-WQXIGy4,Company Man,"Kendrick Lamar, Jay Rock & Ray Vaughn ""Boom"" Reaction",https://www.youtube.com/watch?v=_0W-WQXIGy4,2026-06-12,45075,956,23090,1.95,777.2,0.99
V9t0srSbowM,Company Man,Dame Dash Responds to Jay-Z's Freestyle and It's Genuinely Sad to Watch,https://www.youtube.com/watch?v=V9t0srSbowM,2026-06-03,45049,1055,23090,1.95,672.4,0.85
SLcaagN67sw,Company Man,"Kevin Hart Breakfast Club Interview, Fake Doctor, Snoop, Drake + MORE",https://www.youtube.com/watch?v=SLcaagN67sw,2026-05-28,42165,23382,23090,1.83,577.6,0.73
DLWZQjt6lTk,Company Man,Jay-Z Freestyle Fall Out + Is 2 Hard 4 The Radio Divisive? + Tyler's Rap Media Critique,https://www.youtube.com/watch?v=DLWZQjt6lTk,2026-06-04,38765,22437,23090,1.68,587.3,0.75
rCqkdXlmNHU,Company Man,Toure Exposes What Really Happened With Fake Dr. Cheyenne Bryant,https://www.youtube.com/watch?v=rCqkdXlmNHU,2026-05-29,37942,1248,23090,1.64,527.0,0.67
1z8tuiWbdWw,Company Man,"Did The Game Just Threaten Kendrick, Top Dawg & TDE?",https://www.youtube.com/watch?v=1z8tuiWbdWw,2026-08-08,37148,2087,23090,1.61,37148.0,47.23
d9b5C3CkAvA,Company Man,Jay-Z Did It Again... And the Timeline Is Damning,https://www.youtube.com/watch?v=d9b5C3CkAvA,2026-06-17,31340,1194,23090,1.36,591.3,0.75
xUv-rh2JwQY,Company Man,Dame Dash Drops Diss Track on Jay-Z & Cam'ron... It's Bad,https://www.youtube.com/watch?v=xUv-rh2JwQY,2026-06-22,30666,1054,23090,1.33,638.9,0.81
DSMCfD25_3o,Company Man,YG vs. Drake: The Drakeo The Ruler Allegations Explained,https://www.youtube.com/watch?v=DSMCfD25_3o,2026-08-04,26228,1528,23090,1.14,5245.6,6.67
eZbNP0EbgLE,Company Man,XXL 2026 Freshman List  + Southern Rap Lyricists + The N-Word Debate,https://www.youtube.com/watch?v=eZbNP0EbgLE,2026-06-25,23876,16971,23090,1.03,530.6,0.67
9TLMdG_OyXE,Company Man,"Yung Miami, India Arie & How We Move As A Community",https://www.youtube.com/watch?v=9TLMdG_OyXE,2026-07-09,23260,18191,23090,1.01,750.3,0.95
Oe4fi4lXirY,Company Man,Pharrell Sends Warning Shot During Jay-Z's EPIC Yankee Stadium Show,https://www.youtube.com/watch?v=Oe4fi4lXirY,2026-07-13,22920,1257,23090,0.99,848.9,1.08
hr37CgDinco,Company Man,3 Hours. 35 Years. The Karmelo Anthony Story.,https://www.youtube.com/watch?v=hr37CgDinco,2026-06-10,22810,1391,23090,0.99,380.2,0.48
